study_id,public_record_file,public_record_sha256,public_record_bytes,original_frozen_record_file,original_frozen_record_sha256,original_frozen_record_bytes,source_pdf_file_label,source_pdf_sha256,source_pdf_page_count
S051,S051__intelligent-decision-support-for-tunnel-fire-incidents-integrating-dynamic-knowledge-graph-w.json,2aa7d36a5fdf8c3bc5b3b6dbb610bd41a0de7bd23a4c4e140fbefc7137cfe819,6314,S051__intelligent-decision-support-for-tunnel-fire-incidents-integrating-dynamic-knowledge-graph-w.json,0f02e9218f12387d5a7706758dff1c2dbde36b34bd6823110544e05f963aa902,5491,Lin et al. - 2026 - Intelligent decision support for tunnel fire incidents integrating dynamic knowledge graph with lar.pdf,06e9a66d37765ca6b2cda897d39b2ee09c7b1366c50d84d34ca4da9cd6fe7938,17
S052,S052__geospatial-question-answering-on-historical-maps-using-spatio-temporal-knowledge-graphs-and-.json,4d08817f795cda3d9670e520c996c64e57228b3033ee82fdf1541d6274978c0d,7006,S052__geospatial-question-answering-on-historical-maps-using-spatio-temporal-knowledge-graphs-and-.json,3abb15048deea40c08953b4ea46942ddbf8720e55461c97de4ab25813f0d4327,6526,Liu et al. - 2025 - Geospatial question answering on historical maps using spatio-temporal knowledge graphs and large la.pdf,091bf097a0378641df40ab33aea2bae014bc303c28b36ad120b69f54adbe71e3,4
S053,S053__enhancing-clinical-note-generation-with-icd-10-clinical-ontology-knowledge-graphs-and-chain-.json,02a0c095a315ee786d369421b9b1d045fb469817c9c4e9e5d9d633cfa038b786,7606,S053__enhancing-clinical-note-generation-with-icd-10-clinical-ontology-knowledge-graphs-and-chain-.json,6a4603c38e088918b6ed8ad3d8d0246a1d5d01dc8564acd695a4951d6fc3e420,6898,"Makohon et al. - 2025 - Enhancing clinical note generation with ICD-10, clinical ontology knowledge graphs, and chain-of-tho.pdf",e8f6811e5dd1f74cb2a08989a84a72eea01735893942865836e96b9135230e1d,32
S055,S055__enhancing-vector-based-retrieval-augmented-generation-with-contextual-knowledge-graph-constr.json,9ccd1ffed822e8bab1136062c435a2c2904c09c69ff3e644efe1428e5488505e,6332,S055__enhancing-vector-based-retrieval-augmented-generation-with-contextual-knowledge-graph-constr.json,8d1c99f9c24b43f00f92219e5ae2a0c1d48a6b6541ca9ac8d51146c8a010aa90,6495,Mankari and Sanghavi - 2024 - Enhancing vector based retrieval augmented generation with contextual knowledge graph construction.pdf,a0636a38bda0febe7bc0adc4a990e0dc3dc0bdd8ac5c16f630d93bb0af6802ab,6
S056,S056__enhancing-manufacturing-knowledge-access-with-llms-and-context-aware-prompting.json,6f4c9acd4fb46fc46dacd376ce14a120c2750fb22db01ac0b593b44a27b75a29,5872,S056__enhancing-manufacturing-knowledge-access-with-llms-and-context-aware-prompting.json,0f0870c3a1319af9e12f38b8262e146ce74228594d75264094c1f32a23657907,5035,Monka et al. - 2024 - Enhancing manufacturing knowledge access with LLMs and context-aware prompting.pdf,dd17198aeb7e6f81e95f6cf24ced986bf5751211267199e617eda81e980560aa,8
S057,S057__retrieval-augmented-generation-of-ontologies-from-relational-databases.json,f9df65fd4a743bc8dd13cecc9693742bc8b9dc5dca3ec0439deba29aec3a0ff7,6343,S057__retrieval-augmented-generation-of-ontologies-from-relational-databases.json,65c08551c2553f72c4191ae6022ea9926ab94d3d9a732b130a10d66a5fe3ebad,5901,Nayyeri et al. - 2025 - Retrieval-augmented generation of ontologies from relational databases.pdf,d0931c74d41404e23863eeed9c929374ada300239b03d221f4dd64aeaa2b747e,25
S058,S058__formal-knowledge-augmented-language-models-for-explainable-and-robust-reasoning.json,bb4a39808c0b2d737a0f7ec7e8060849d53d4018ef71e36f98c0994e3233556b,7360,S058__formal-knowledge-augmented-language-models-for-explainable-and-robust-reasoning.json,6c8b5aad04e9e22590ddde4fa3e2943ce009e66fbaf1c1eb84d2772fd33692f0,6457,Nguyen et al. - 2025 - Formal knowledge augmented language models for explainable and robust reasoning.pdf,ac41735b61a07b8ec92f30f2b0d185f2b5b68cfc433f63c42dea57912870721b,15
S059,S059__automatic-ontology-construction-using-llms-as-an-external-layer-of-memory-verification-and-p.json,8019a6587a5f7e71d31942e00667077b3376d38c40f97eed2ec79e00366c4c65,7980,S059__automatic-ontology-construction-using-llms-as-an-external-layer-of-memory-verification-and-p.json,7ebb5911ed3b75861f00bc51b29c42db7ca78c8cc3800860c0a04e973f4e2566,8617,Pavel - 2026 - Automatic ontology construction using LLMs as an external layer of memory.pdf,a14c1b18d96234c39bbae0973470014f717ccf061ba7e0badb16e3c05032d69e,16
S060,S060__large-language-models-and-knowledge-graphs-synergistically-enhancing-personalized-learning.json,c81f94769ad5012f55ffe8e781e1fa7031f02d79cbcee113278709a73bb51f1b,5493,S060__large-language-models-and-knowledge-graphs-synergistically-enhancing-personalized-learning.json,767287f053e4afaa108982b1f7482add0bab602af7eee910ed5495428b811bc5,4757,Peng et al. - 2025 - Large language models and knowledge graphs synergistically enhancing personalized learning.pdf,a21cf350c95570d89441afc485d463e10635bd70f0a52109764aace113c1ef3c,5
S061,S061__a-hybrid-semantic-question-answering-system-for-the-history-of-sumedang-larang-integrating-r.json,d5df2f55962c7fb9d2e04ec3bf407e954f138d7d781243ceedc955e64cbac280,6623,S061__a-hybrid-semantic-question-answering-system-for-the-history-of-sumedang-larang-integrating-r.json,9b0f61f7c226517bf80803b822ef76489121c3726883eff14c57d6fde20b0e9a,5732,Rahman et al. - 2025 - A hybrid semantic question answering system for the history of sumedang larang integrating retrieva.pdf,4a1980aa9986d2c5d454a4fdd0844bda04e4fbba864100f20f02467c196c2c01,6
S062,S062__evorecipes-a-generative-approach-for-evolving-context-aware-recipes.json,dda427a1716e6c4e82f51e3eaf69d05cc876b302ae00fdde44faea2be9aca38f,5891,S062__evorecipes-a-generative-approach-for-evolving-context-aware-recipes.json,327c187b9726d9d76380fe9ec7355599756f4fee72152ded85698fef2da34c71,5385,Razzaq et al. - 2023 - EvoRecipes a generative approach for evolving context-aware recipes.pdf,8fabfca94c19c206629641d1af1b283c9a78d7b143a42ec0fc5e8de7cf044e7a,17
S063,S063__ensemble-learning-with-rag-model-to-reduce-redundant-question-topics-in-auto-generated-exam-.json,df2309029a3815ee0f185d3b5cdfafd35c90536533eceed55e135d8104a58d4b,7429,S063__ensemble-learning-with-rag-model-to-reduce-redundant-question-topics-in-auto-generated-exam-.json,d1d8d8e4068a6786186565ed24799c17c1370234388e20df503003de0f5be63f,7039,Sairaj and Balasundaram - 2025 - Ensemble learning with RAG model to reduce redundant question topics in auto-generated exam question.pdf,fc19bebe29117260fc30597ee634a7a046a8938dfcb62a187cdf4332bbfa2040,17
S064,S064__accelerating-manufacturing-scale-up-from-material-discovery-using-agentic-web-navigation-and.json,0c19de00aa172b62709b4f2bcfa8e789ec68ff2511543a9fe4e26d35cd32918e,7016,S064__accelerating-manufacturing-scale-up-from-material-discovery-using-agentic-web-navigation-and.json,a911e2f74a2e9cc3b3f8e49fb4859792f750a3208fd05930a39242787ac341dd,6689,Sakhinana et al. - 2025 - Accelerating manufacturing scale-up from material discovery using agentic web navigation and retriev.pdf,cd438e619bb1ce7c46d8975d4ed8b6a8facab646e26b1b950001b6190e11f522,36
S065,S065__document-level-relation-extraction-with-ontology-guided-rag.json,65bc12f9b32cb778fbf32fb066fe64bcabdd8bc721512969554da27c1bf191d0,6129,S065__document-level-relation-extraction-with-ontology-guided-rag.json,9842ea62318bfa7844048b1b2ed713ac352680cf90ed80bf92e96d1a23597c9a,6214,Schmidt et al. - 2025 - Document-level relation extraction with ontology-guided RAG.pdf,dabb18560a8e82ad2f13369de93f0be31d886c38f1a74d3640b6fde36306ba88,9
S066,S066__enhancing-retrieval-augmented-generation-for-interoperable-industrial-knowledge-representati.json,05513a33e3e2e33cc8e6b84f7485521a1aab1123095d47e29ea8665ff2df6d0d,6305,S066__enhancing-retrieval-augmented-generation-for-interoperable-industrial-knowledge-representati.json,f34ac2783380901a011bd989c834a298136d715a06fc62ba21c0fa63ae8acd15,5472,Shi et al. - 2025 - Enhancing retrieval-augmented generation for interoperable industrial knowledge representation and i.pdf,8ed99fb7581856f1e4bd12bce43a3858dbd13030abc7cc2f8a164aecb5e435b4,16
S067,S067__leveraging-graph-rag-for-enhanced-diagnostic-and-treatment-strategies-in-dentistry.json,93b76432f7ad18d1cddf1a104f71399bcf6b3c3c0ae435e7b4e6bd828a751ad5,6486,S067__leveraging-graph-rag-for-enhanced-diagnostic-and-treatment-strategies-in-dentistry.json,b38738466727fa1e2bf3a212da7d35d832fd26c5caa738e8e662a94f000c59d1,5563,Sophaken et al. - 2024 - Leveraging graph-RAG for enhanced diagnostic and treatment strategies in dentistry.pdf,0568e7d075d2bfd94b06c34e41c9837c75dbf309dce38ae34797a52ade356aa3,6
S068,S068__agentic-system-for-construction-safety-risk-assessments-using-large-language-models-and-know.json,d79f6151a96fbea5c0dc5f08100b2418006cb1e89ee1b16edd4abc00312cda0c,7031,S068__agentic-system-for-construction-safety-risk-assessments-using-large-language-models-and-know.json,76ef664a84ce32cf9c0fbd0dd5050d1b0e4fe21b026f7ccd2375d41ada364cb6,6391,Speiser et al. - 2026 - Agentic system for construction safety risk assessments using large language models and knowledge gr.pdf,b761560637c865e951543f9889f1c802e5afa8c8cdfc57276a62048888768354,22
S069,S069__an-innovative-approach-to-the-semantic-integration-of-construction-and-sustainability-inform.json,6c4be87654d0b21016097245fa60b251930a86903c39aab0b2560e80da9c49e0,6529,S069__an-innovative-approach-to-the-semantic-integration-of-construction-and-sustainability-inform.json,709403483599d12fdd1c6aa1f428bba8d586517bba446f64719d38ed0cde5662,5961,Stellmacher et al. - 2025 - An innovative approach to the semantic integration of construction and sustainability information us.pdf,d92dd0a15da7e4e3eb2c202a8efc5e2e1e5f497ca0ebffbc99db9d9b4ea78f80,6
S070,S070__knowledgehub-an-end-to-end-tool-for-assisted-scientific-discovery.json,a1fd05065982196ac02dd86fbe2055ab1b08ebb47610bcf6af506db6147a57b7,5152,S070__knowledgehub-an-end-to-end-tool-for-assisted-scientific-discovery.json,6508ff5f5ff5a421085911dbf71c72abb2c37d0d2219a1e6fe74e9d4214fce8d,4335,Tanaka et al. - 2024 - KnowledgeHub an end-to-end tool for assisted scientific discovery.pdf,eec5e1e3aadcd8a970f310562d3a80212519ff5184e10fc56a3ada4562b02736,5
S071,S071__the-construction-and-application-practice-of-course-knowledge-graph-in-educational-digitaliz.json,4a4c86be129d893f41fb92dffb2329b6080e063a1a7508acd7bed39e67f0fd09,6492,S071__the-construction-and-application-practice-of-course-knowledge-graph-in-educational-digitaliz.json,d94404ce90cabd8271e774b2580cb69d33571860e83f7847dc5a082d7497549f,5772,Tian - 2025 - The construction and application practice of course knowledge graph in educational digitalization.pdf,61daed6fe5dd1fa3aae27ef5aed393c9a50a6479c0253b40ea4ce204bb7ed2a5,4
S072,S072__ontorag-enhancing-question-answering-through-automated-ontology-derivation-from-unstructured.json,9b7e67cb1c6907cf2454e774e4fda9f618d7efd2d25f9db55a6d47c768d6e9aa,5496,S072__ontorag-enhancing-question-answering-through-automated-ontology-derivation-from-unstructured.json,13a6140ceb9410a9c5da7854b82e58ed19f23601f57a5e2cf8b77ec32b18680d,4752,Tiwari et al. - 2025 - OntoRAG enhancing question-answering through automated ontology derivation from unstructured knowle.pdf,cc4af8dc38677e8c3b9881919958d753242fcfa728931c1044aa59324fdb8c9a,8
S073,S073__prompting-large-language-models-based-on-semantic-schema-for-text-to-cypher-transformation-t.json,fa1fb99f84abce23a8cb608e4430b11c29c27d0e773236579f75e3e8d7806a8f,6309,S073__prompting-large-language-models-based-on-semantic-schema-for-text-to-cypher-transformation-t.json,46a1ee0d4cf2249f9a85bdc0985b9063ed42813e04c6bc3a196286128e92de45,5515,Wan et al. - 2025 - Prompting large language models based on semantic schema for text-to-cypher transformation towards d.pdf,3f54d8ac717d205a5d8cb3154efe23a1693287d89e1d971926eb026f14aae4ec,14
S074,S074__retrieval-augmented-question-answering-system-based-on-large-language-models-and-knowledge-g.json,aa015be8a015991897136cfd34b3fa5de4baa7ccaf4d1b8f30c612099e30f02f,6628,S074__retrieval-augmented-question-answering-system-based-on-large-language-models-and-knowledge-g.json,6240b82e840cf8a88a80563030ece9fb036a3be97d0bb1493f0ec61f610fe5a9,6460,Wang - 2025 - Retrieval-augmented question answering system based on large language models and knowledge graphs.pdf,14b7cbe976acec0483425bf5119db006ae4cb576b9f8d623d2195bb8f63589e3,10
S075,S075__automated-construction-of-medical-indicator-knowledge-graphs-using-retrieval-augmented-large.json,7d4ae21396c9b6ccc5c2c11435250974ffe9d254c21151c1d9189c0bfcd43ff1,5421,S075__automated-construction-of-medical-indicator-knowledge-graphs-using-retrieval-augmented-large.json,27a4c322bc1ea7105d5f6fd32e3d0e72aef43ce384f91974d265101672e796ed,4847,Wang et al. - 2025 - Automated construction of medical indicator knowledge graphs using retrieval augmented large languag.pdf,6b449a1e0c34de37196e25b13b5337ccf17f7555eebb6f3df24ac77b2c7fd36e,5
S076,S076__llm-driven-multimodal-knowledge-graph-construction-for-industrial-process-with-prompt-optimi.json,f29d0018ae517bf51e8da5f4b7c77df16a6864e5f1246c5442049bd5496e69e3,5536,S076__llm-driven-multimodal-knowledge-graph-construction-for-industrial-process-with-prompt-optimi.json,2bdf182fbdbc4d72e3c0fdbc855e75b2dc8ce9e0a92ad1ace4bd1a080141f869,4779,Xie et al. - 2026 - LLM-driven multimodal knowledge graph construction for industrial process with prompt optimization a.pdf,95645ab5f2dea3d74e729080edeb5ab9311a12c5aeaf397d09ba1a5f55235656,14
S077,S077__chattf-a-knowledge-graph-enhanced-intelligent-qa-system-for-mitigating-factuality-hallucinat.json,18fa63cc6f84179d74de4a306ca654f117f09ea7eedb3841b45e02518a501449,7553,S077__chattf-a-knowledge-graph-enhanced-intelligent-qa-system-for-mitigating-factuality-hallucinat.json,1523d8dc446fd80781d2970f7a0365705bece11a76c09e5296bc6b0a5fb62f4d,6625,Xu et al. - 2024 - ChatTf a knowledge graph-enhanced intelligent Q&a system for mitigating factuality hallucinations i.pdf,5fc2414ed7f59327a4b1f66da4a371e384be3af8c79232d53cdc8dd7ca0866f3,13
S078,S078__multi-agent-osint-architecture-with-graph-rag-integration-and-hierarchical-bloom-filter-dedu.json,bce84b93663003b72b47cbfa0baebf09c7677118fca27f84c79522fc3fb66154,6661,S078__multi-agent-osint-architecture-with-graph-rag-integration-and-hierarchical-bloom-filter-dedu.json,860599783adf0fcadc3a0580d6cf66f7958016f9e02f5416fd527f709d68aa5e,5943,Yurtalan and Arslan - 2025 - Multi-agent OSINT architecture with graph RAG integration and hierarchical bloom-filter deduplicatio.pdf,eb01a0dc5c61e5bb8b38c7f0fd10f893b968fcdf5b9e1ec2c885946a8536390a,6
S079,S079__automatic-construction-of-oilseed-rape-knowledge-graph-based-on-large-language-models.json,b507dfa094a6e3e96f861075171527d3adce31ad865b7fa1c26d4e747e3bbdcf,5378,S079__automatic-construction-of-oilseed-rape-knowledge-graph-based-on-large-language-models.json,3a494267afa980332022bed602d4577c6e902d402dda6823edf4b76e15126bc6,4695,Zhang et al. - 2025 - Automatic construction of oilseed rape knowledge graph based on large language models.pdf,afed54c8a9aa0e9ebe07adc5909e20de9fb86bbc40e1ab08e128525e6aa5a788,4
S080,S080__a-knowledge-graph-and-large-language-model-framework-for-customized-manufacturing-a-case-stu.json,632fe52dab84e567937cbba22703a060eff71a9a1e374acc1ed7da8fc4aec6ea,7506,S080__a-knowledge-graph-and-large-language-model-framework-for-customized-manufacturing-a-case-stu.json,f3643742d01e1088cf7c7f5a9c0742de4307f81ff0efa21cc61e5275acd886f3,6784,Zhang et al. - 2026 - A knowledge graph and large language model framework for customized manufacturing a case study in f.pdf,fb15f70bb72814ad2f2485875c2b6b34d8c1dc9affe86e7a71b0c4de953ec8dd,26
S081,S081__chemical-process-safety-domain-knowledge-graph-enhanced-llm-for-efficient-emergency-response.json,11ca81762e89eb8a2bd3bd650d8c01d730492ddbb24bdeb5571da026dc23eb10,6522,S081__chemical-process-safety-domain-knowledge-graph-enhanced-llm-for-efficient-emergency-response.json,83740a4dbe00b0c58365b496964914b04645b0271b58c96eaf402126f4f4b42c,5565,Zheng et al. - 2025 - Chemical process safety domain knowledge graph-enhanced LLM.pdf,0d4f5a83bef1629c89227ffce9997090d047a120409e3cceb5e158df2ec04c59,30
S082,S082__construction-of-a-multimodal-knowledge-graph-for-power-grid-construction-safety-based-on-lar.json,57b6497ecb02a98db587893c50b6eb9d44d7c4019a0e1257b713939f472ad63b,6551,S082__construction-of-a-multimodal-knowledge-graph-for-power-grid-construction-safety-based-on-lar.json,8e0c1ce81126397a2f4a43fc16cb11fa8bcccf674dc7d4e749cbba4758b5e80e,5682,Zhou et al. - 2024 - Construction of a multimodal knowledge graph for power grid construction safety based on large langu.pdf,acd1ea001c3074a1edde29da3ce06918a9084e3cc2054aabfebfd2c33e3dabae,8
S083,S083__a-comprehensive-framework-for-legal-dispute-analysis-integrating-prompt-engineering-and-mult.json,f367347df992f53831819f882a408011bbb7486914c722664219f2d58e8f65de,7791,S083__a-comprehensive-framework-for-legal-dispute-analysis-integrating-prompt-engineering-and-mult.json,103ca111d03ef11e01b8aff88ae89109269e07647c9c48643bf206a381eb2dcf,7185,Zhang et al. - 2025 - A comprehensive framework for legal dispute analysis integrating prompt engineering and multi-dimens.pdf,c3bdbf4b505b6a7b4e7789252bf66e0cdb127fbba01b2f99b6ccb04d311d1eb7,30
S084,S084__acukg-a-comprehensive-knowledge-graph-for-medical-acupuncture.json,eed2482b3ddb4d7bb3b15dce7d6d3f9a9e07a2c6d5aeaa6a932ae7d606f93b84,6643,S084__acukg-a-comprehensive-knowledge-graph-for-medical-acupuncture.json,709f49fc946fd31d10aa6a3c8b0b8c77870c5fd2aa05294e4d5e755c04ef7cbf,5808,Li et al. - 2026 - AcuKG a comprehensive knowledge graph for medical acupuncture.pdf,47512d391d57de5c973096017ac6ae827cf1f09efa13d877761282f9d8831896,28
S085,S085__claim-knowledge-graph-construction-and-graphrag-based-question-answering-system.json,7a01ad5e63dd308707c90a8b147da0adcb3d8501ff795e237e5e0540661699c6,7050,S085__claim-knowledge-graph-construction-and-graphrag-based-question-answering-system.json,fabaf0d970e8eb29547f0cc63a8392ab4ab775b173afb50c0c7be6ac94f81792,6421,Wang and Fang - 2026 - Claim knowledge graph construction and GraphRAG-based question-answering system.pdf,77959a593306a27cc5c96bb26d5b4fd8c9771d9e6b3814bb0dbc66c202b5885e,20
S086,S086__cti-thinker-an-llm-driven-system-for-cti-knowledge-graph-construction-and-attack-reasoning.json,81e1a1c9ccb4ec1d047022d5cd993ea3fc8818d9d2b3ae57005ed71689b43785,6629,S086__cti-thinker-an-llm-driven-system-for-cti-knowledge-graph-construction-and-attack-reasoning.json,e008a721dfb41458b49ec490e283db2c76df840ec1b126c94e02e4f529962f56,5929,Yang et al. - 2026 - CTI-thinker an LLM-driven system for CTI knowledge graph construction and attack reasoning.pdf,e0c06f6bdc1c664bf95ee9f5e326fd7f07bf579fc1b80272636d688b7b0a4bfe,29
S087,S087__domain-specific-ontology-construction-and-llms-finetuning-for-procurement-knowledge.json,9bddb5f91bf0b26435eb382040fb047254d76394e25fbbd8fdb3656fff561031,5204,S087__domain-specific-ontology-construction-and-llms-finetuning-for-procurement-knowledge.json,21e8d960a1999f4fa644e69b831575ddcfcc0bad0dfb3f5357ddf482233157be,4495,Shevchuk et al. - 2026 - Domain-specific ontology construction and LLMs fine-tuning for procurement knowledge.pdf,e9d002a1326e6ce18e6b9858d6680f10e9e82663df5a697250e47ad0ff6b9583,26
S088,S088__explainable-artificial-intelligence-framework-for-predicting-treatment-outcomes-in-age-relat.json,f1165559047e4b5793cc30c6b24152c02a126442d23fb541fbdb716bbccfeb08,6991,S088__explainable-artificial-intelligence-framework-for-predicting-treatment-outcomes-in-age-relat.json,a8329bfbb7e7fa35f3b508484cee882b8cd7c61844cc135dcb8671bf550c51b0,6273,Wang - 2025 - Explainable artificial intelligence framework for predicting treatment outcomes in age-related macul.pdf,c4fa5e0d16199ad66418eff3339b2686f4eedef95d1acda5c48199dbec03715c,35
S089,S089__forpkg-a-framework-for-constructing-forestry-policy-knowledge-graph-and-application-analysis.json,1835ffa8d37156e49088433f663fd56ec23c7b0dca73eb3d5c739f75db5686de,5851,S089__forpkg-a-framework-for-constructing-forestry-policy-knowledge-graph-and-application-analysis.json,4d9fd2e6b95aa2c8798d5faa74d6bbb5e37e9599d82f1c96386501233c263136,5341,Sun and Luo - 2025 - ForPKG a framework for constructing forestry policy knowledge graph and application analysis.pdf,cb887bf17fe9c47fb3837ebb2383f5993f7c9a2b95a31bccb0b71e7693952153,8
S090,S090__from-knowledge-graph-construction-to-retrieval-augmented-generation-a-framework-for-comprehe.json,ad5578e194b05849c7658c8c213e1e90b0f64a4c71d5159f16a5e969cb6afc48,7040,S090__from-knowledge-graph-construction-to-retrieval-augmented-generation-a-framework-for-comprehe.json,340217d92dbc4d8cdff0e6014ca4f8571ccf53bdfdf287b04e4b0b2e61ed5a22,7195,Yao et al. - 2026 - From knowledge graph construction to retrieval-augmented generation a framework for comprehensive e.pdf,58ae29af715c8105d0d3076e44c4dfbeff244813a66912d646278b93e6a22df0,22
S091,S091__from-questions-to-insights-how-domain-specific-semantics-boost-llm-access-to-touristic-real-.json,ef91c32bf90798c0de7a22593b06797db77fe24e2ebc4f2e4aa9810a0c89bd1f,6781,S091__from-questions-to-insights-how-domain-specific-semantics-boost-llm-access-to-touristic-real-.json,f4a6420bb81797a05ddd5c759400a4abd1866e07575a4ae58519be768df2481c,6129,Neubig et al. - 2026 - From questions to insights how domain-specific semantics boost LLM access to touristic real-time oc.pdf,d0927d20f4d410deeeda5f30f78e65babc5d159e25c5a35da3d1e79f89bf310d,29
S092,S092__fusing-geoscience-large-language-models-and-lightweight-rag-for-enhanced-geological-question.json,e9ec86e94af72ba6a2854d3106517f6452749d846d78a773b845bc6915b59b57,7551,S092__fusing-geoscience-large-language-models-and-lightweight-rag-for-enhanced-geological-question.json,f071b6fab56c853dc06e1782e29fc8d00581d555c10466445cfdc4c8b7d44da0,6906,Zhou and Li - 2025 - Fusing geoscience large language models and lightweight RAG for enhanced geological question answeri.pdf,fef9a64e60ef33b911d8d6ae97afd2a987fd8a0163294f0ea83abf0fce9cb44d,18
S093,S093__graph-rag-enhanced-retrieval-and-multi-agent-collaborative-method-for-intelligent-nuclear-po.json,6528e242069a66363ab49b5e25543fb72493a1ebe96ff617c717d1f81435ecd3,6768,S093__graph-rag-enhanced-retrieval-and-multi-agent-collaborative-method-for-intelligent-nuclear-po.json,037559e0a45cd6c5eaa891d164bfb29896e21531d286736bfb6edfd1c746edc1,6452,Zhang et al. - 2025 - Graph-rag enhanced retrieval and multi-agent collaborative method for intelligent nuclear power elec.pdf,8fb22ca03f7dd4cb98eda75d5f2049f8410a13c49eb486d46d8f5269da671864,14
S094,S094__heal-kggen-a-hierarchical-multi-agent-llm-framework-with-knowledge-graph-enhancement-for-gen.json,55601a099f0d152126efd3f2dd6558f8a257436f23f6551fc37046cfe2cf6fd3,6826,S094__heal-kggen-a-hierarchical-multi-agent-llm-framework-with-knowledge-graph-enhancement-for-gen.json,446f6a8f26d74ade6679fa43a717de4439ff30dc371318e80cbf32ba6b55a6f4,6428,Zuo et al. - 2025 - HEAL-KGGen a hierarchical multi-agent LLM framework with knowledge graph enhancement for genetic bi.pdf,be7508002cb2efdee705a62c506e316556dfce462b13708607281e0585781106,21
S095,S095__integrating-ai-powered-knowledge-graphs-and-nlp-for-intelligent-interpretation-summarization.json,fc3a716a395c12176ebe7ed39fd4a76cdb42525260e3983531128e3944eb0755,6665,S095__integrating-ai-powered-knowledge-graphs-and-nlp-for-intelligent-interpretation-summarization.json,f9907e33d86a87c9f97e70a98ec7e2eae7d9ee76cc32b991a51bf9614d11e209,6374,"Oriyomi Badmus et al. - 2025 - Integrating AI-powered knowledge graphs and NLP for intelligent interpretation, summarization, and c.pdf",b050d3a609f5c02fe3ff43c4572cf78b2c63aa489a07c908abef4c8b320cdf14,21
S096,S096__integrating-graph-retrieval-augmented-generation-into-prescriptive-recommender-systems.json,e34c241909aeaa621b69112bcfb58bd19070a166f4b744577e688977b0979457,7340,S096__integrating-graph-retrieval-augmented-generation-into-prescriptive-recommender-systems.json,247050050ea0be2d3001624d71df9225cf226b11ea9d303fae99b1f6cb950744,6690,Niederhaus et al. - 2025 - Integrating graph retrieval-augmented generation into prescriptive recommender systems.pdf,4a0d4ae5f366998b5d6f9ace001252d48ea2538d032ad931dad39cece530eaf7,24
S097,S097__intelligent-identification-and-decision-support-system-for-tbm-construction-risk-synergistic.json,b4016d7a6949dd16e90845824fae9e19d0350cebf1d85fb71b701c0691d6f734,6891,S097__intelligent-identification-and-decision-support-system-for-tbm-construction-risk-synergistic.json,de0319693663de45dcec8ac0e9586908945450c56b3eb99b315c34e28a9fd833,6146,Li and Bo - 2026 - INTELLIGENT IDENTIFICATION AND DECISION SUPPORT SYSTEM FOR TBM CONSTRUCTION RISK SYNERGISTICALLY DRI.pdf,bf9939fdf3f50f15c8012257343b1f33baed66655c03081351f08aadf3cd4f73,18
S098,S098__kgagent4cti-unlocking-the-power-of-llm-in-threat-intelligence.json,048db321aeac9a047e74240832e9d37f90d610b7b877533b0eb6e8650416ecf1,6373,S098__kgagent4cti-unlocking-the-power-of-llm-in-threat-intelligence.json,fde81d3d3c754d6ba6e1e81881857b425de864067ce7542ce489c8f349d2de93,5658,Yang et al. - 2026 - KGAgent4CTI unlocking the power of LLM in threat intelligence.pdf,0455cf0240bfe0b48e6d277d1435c8face113d5bd69237c999b76844e9da0f1b,23
S099,S099__knowledge-graph-enhanced-pattern-language-for-biodiversity-integration-in-architectural-educ.json,cebd5c7f9872f827faf5ad2ea0976cfa09f04e617d91579c146b38c5d37aed9d,6441,S099__knowledge-graph-enhanced-pattern-language-for-biodiversity-integration-in-architectural-educ.json,c010780ed0e83d59c67250314d500edcb0367dfee953cc04d6bb2cbe5abb4c1c,5752,Martinez Otalora et al. - 2025 - Knowledge graph-enhanced pattern language for biodiversity integration in architectural education.pdf,97b47fd560cfe5e609988ba22278c376904417519cae338d05d227a381413431,13
S100,S100__llm-based-natural-language-to-sparql-translation-over-domain-specific-knowledge-graph.json,ffd0dbab8973b9ee346bfc2de4f6ec54f13d34fb66733d912a9def1f05ec1536,7289,S100__llm-based-natural-language-to-sparql-translation-over-domain-specific-knowledge-graph.json,009201684d4214d8cc7484a44b154c613c5af8e2abcb643fbb7bccef964f6abf,6478,Rasheed and Aguado - 2025 - LLM-based natural language to SPARQL translation over domain-specific knowledge graph.pdf,37c7cee390aaafa49e1753ebf00662e8bda07603e6e650bcf5d42adf164d9c22,13
S101,S101__metabot-an-llm-based-multi-agent-framework-for-interactive-analysis-of-mass-spectrometry-met.json,6cabf3aa04fdbb0bd9e429c08d3b5d9730f75785855a06ce8749af929bae464a,7649,S101__metabot-an-llm-based-multi-agent-framework-for-interactive-analysis-of-mass-spectrometry-met.json,7c84dbf5614fd549ba0832effb0be21cf321e5e044d94f281fa7484c8bbe84c9,7059,Bekbergenova et al. - 2025 - MetaboT AI-based agent for natural language-based interaction with metabolomics knowledge graphs.pdf,6cc38479550de01af10aabd71b7608eacbea602a769e5ce40008e1021437f3d8,29
